227,17,Escape FWD PHEV
228,17,Explorer HEV AWD
229,17,Explorer HEV RWD
230,17,Mustang Mach-E AWD
231,17,Mustang Mach-E AWD Extended
232,17,Mustang Mach-E GT AWD
233,17,Mustang Mach-E RWD
234,17,Mustang Mach-E RWD California Route 1
235,17,Mustang Mach-E RWD Extended
236,17,F150 Pickup 2WD HEV
237,17,F150 Pickup 4WD HEV
238,17,F150 Lightning 4WD
239,17,F150 Lightning 4WD Extended Range
240,17,F150 Lightning Platinum 4WD
241,17,F150 Pickup 2WD HEV
242,17,F150 Pickup 4WD HEV
243,17,Maverick Pickup HEV
244,17,F150 Pickup 2WD HEV
245,17,F150 Pickup 4WD HEV
246,17,F150 Lightning 4WD
247,17,F150 Lightning 4WD Extended Range
248,17,F150 Lightning Platinum 4WD
249,17,F150 Pickup 2WD HEV
250,17,F150 Pickup 4WD HEV
251,17,Maverick Pickup HEV
252,17,C-Max Energi
253,17,C-Max Energi
254,17,C-Max Energi
255,17,C-Max Energi
256,17,C-Max Energi
257,17,Escape
258,17,Focus
259,17,Focus
260,17,Focus
261,17,Focus
262,17,Focus
263,17,Focus
264,17,Focus
265,17,Fusion Energi
266,17,Fusion Energi
267,17,Fusion Energi
268,17,Fusion Energi
269,17,Fusion Energi
270,17,Fusion Energi
271,17,Fusion Energi
272,18,Zevo 600
273,19,EV Star Cargo
274,20,Accord
275,20,Accord Sport or Touring
276,20,CR-V AWD
277,20,Insight
278,20,Insight Touring
279,20,Accord
280,20,Accord Sport or Touring
281,20,Clarity PHEV
282,20,CR-V AWD
283,20,Insight
284,20,Insight Touring
285,20,Accord
286,20,Clarity
287,20,Clarity
288,20,Clarity
289,20,Clarity
290,21,Elantra Hybrid
291,21,Elantra Hybrid Blue
292,21,Ioniq
293,21,Ioniq 5 AWD (Long Range)
294,21,Ioniq 5 RWD
295,21,Ioniq 5 RWD (Long Range)
296,21,Ioniq Blue
297,21,Ioniq Plug-in Hybrid
298,21,Kona Electric
299,21,Santa Fe Hybrid
300,21,Santa Fe Hybrid Blue
301,21,Santa Fe Plug-in Hybrid
302,21,Sonata Hybrid
303,21,Sonata Hybrid Blue
304,21,Tucson Hybrid
305,21,Tucson Hybrid Blue
306,21,Tucson Plug-in Hybrid
307,21,Elantra Hybrid
308,21,Elantra Hybrid Blue
309,21,Ioniq
310,21,Ioniq Blue
311,21,Ioniq Electric
312,21,Ioniq Plug-in Hybrid
313,21,Kona Electric
314,21,Santa Fe Hybrid
315,21,Santa Fe Hybrid Blue
316,21,Sonata Hybrid
317,21,Sonata Hybrid Blue
318,21,Ioniq
319,21,Ioniq
320,21,Ioniq
321,21,Ioniq
322,21,Ioniq
323,21,Ioniq
324,21,Ioniq
